title,url,create_time,author,content
[問卦] 蝦皮的AutoCad序號可以買嗎？,https://www.ptt.cc/bbs/Gossiping/M.1777902927.A.312.html,2026-05-04 21:55:25,WaWa3 (寂寞的麻糬),"目前需要練習簡單的2D繪圖而已

最低一年份網頁版也要$4,500左右

可是本人的電腦真的沒啥好攫取的資料

買蝦皮序號會被植入電腦病毒嗎？？"
[問卦] 蝦皮是不是要沒對手了？,https://www.ptt.cc/bbs/Gossiping/M.1777816814.A.52A.html,2026-05-03 22:00:12,sixkeeper (烏毛洗螻蟻),"晚安呀各位

是說剛剛去蝦皮無人智取店啦

結果櫃子一打開發現沒有紙箱！？

嚇得我趕快把東西收到包包

乾可是這波也太猛了吧

直接不用紙箱包欸

這成本省一堆了吧？

綠色消費還是什麼環境友善的噱頭

直接打趴對手吧？

我看PC還是Momo都還在超商取貨

本來店員跟超商合作就已經省一次成本

現在連紙箱都省

蝦皮接下來是不是要沒對手了？"
[問卦] 不是，蝦皮你什麼意思？蛤？,https://www.ptt.cc/bbs/Gossiping/M.1777785598.A.034.html,2026-05-03 13:19:54,ptgeorge2 (左輪小手槍),"發瘋啦，不可以啊

會出事的，蝦皮你什麼意思啊

這種東西能光明正大擺出來嗎

嚇死俺咧

蝦皮這麼high的嗎？

沒法律了？

賣這些不會出事嗎

Sent from JPTT on my Asus ASUS_AI2302."
[問卦] 加入蝦皮Vip消費時還要像乞丐搶卷,https://www.ptt.cc/bbs/Gossiping/M.1777641860.A.A20.html,2026-05-01 21:24:17,thugf (大度山之戀),"覺得自己好像網路乞丐
加入蝦皮VIP，但是折價卷竟然還要用搶的，一邊促銷然後一邊又坑殺VIP消費者是怎樣？
不想給人用的話就不要發，不要裝神弄鬼叫人加入VIP會員  又不給人用。
有人真的有搶到嗎？"
[問卦] 蝦皮買東西用蝦皮店到店要等十天,https://www.ptt.cc/bbs/Gossiping/M.1777047309.A.8C9.html,2026-04-25 00:15:07,BMWi3 (在那叫什麼),"問客服結果現在蝦皮買東西用蝦皮店到店要等十天

兩手一攤擺爛然後給你十元折價劵當乞丐打發

一直調漲跟賣家抽成好像來到10%了吧，結果服務品質是這樣

去淘寶買加上過海關順利的話也不用十天

有沒有蝦皮市占率提高就開始擺爛的八卦"
[問卦] 蝦皮的物流這麼爛還硬要隔日到貨？,https://www.ptt.cc/bbs/Gossiping/M.1776928184.A.CEF.html,2026-04-23 15:09:42,ericmask71 (ericmask),"最近幾次買了隔日到貨店到店

都卡在理貨中心最少五天以上

明明就能力不足硬要說自己多厲害

爛蝦皮早點把隔日到貨這個詞下架吧

你們根本就沒能力

沒那屁股別吃那瀉藥

這樣只是變相詐騙而已沒有比較強

操 郵局包裹都比你蝦皮強

還敢打隔日到貨的名詞不覺得丟臉嗎"
Re: [問卦] 現在蝦皮手續費要38%了是嗎,https://www.ptt.cc/bbs/Gossiping/M.1776892233.A.CD4.html,2026-04-23 05:10:31,jeter17 (揚雞),"我比你還誇張被抽40%.我是同一天賣出兩件相同東西才發現怎麼進帳不一樣差了60.去查了
才知道原來蝦皮搞了兩方案強迫你要加入.屬於其它服務費.之前沒申請會自動把你加到方案
二固定60.然後每個月只第一筆免其它服務費.所以造成兩筆差60.我只是業餘賣家根本沒在
管那些.當下真的傻爆眼真想直接取消交易..
現在蝦皮越來越扯年年漲手收不說還生出一堆名目佣金.賣家不但要抽基本手續費還有金流
費再加其它服務費.隨便都破10幾%.相當於一頭牛扒你多次皮
露天我也有發現檔期賣出也抽不少(大約6,7%再+60)全站免運也是轉嫁給賣家.逼得賣家不得
不拉高售價.什麼全站免運跟折價券其實都是羊毛出在羊身上...
反觀當年王者Y拍真的發覺這年頭它反成優勢.整體體驗比以往改善許多且我賣幾千塊商品一
共只被抽3.5%左右佣金而已比露天還少.真的推薦大家改回去用Y拍把流量搞回來懲罰蝦皮
我自己現在決定不急賣的優先Y拍→露天→最後才是蝦皮

: 

: 昨天被下單一件商品

: 我賣199的東西 蝦皮收我手續費76

: 76/199=0.381

: 現在蝦皮手續費要38%了是嗎

: 我賣199的東西只能拿123元

: 我幹你娘

: 我不賣了操

: 平常不是才10%左右嗎

: 為什麼我這單手續費這麼高

: 有八卦嗎"
"Re: [問卦] 有人買過""""蝦皮直營""""的賣場嗎?",https://www.ptt.cc/bbs/Gossiping/M.1776761543.A.B57.html,2026-04-21 16:52:21,yniori (偉恩咖肥),"一次認真回

給有需要的你

蝦皮直營送來的貨完全不會有額外包裝喔

你就想像蝦皮實體店家是一間便利商店或超市之類的

只是你是上網點選要的物品以後

他們從後面的儲物櫃拿給你

就這樣

所以原則上商品你在超商或超市看到是什麼包裝就是什麼包裝給你

比方你買五包一袋的袋裝泡麵

那送來就是你在大賣場看到的那樣

你買20個就是有20個商品

你可以去取貨時帶著購物袋去裝

其實就跟你去大賣場購物那樣

他結帳也是刷條碼然後結帳給你

流程就這麼簡單

蝦皮直營好處是一天就拿得到

缺點是有時候盒子會壓到一點

除此之外沒什麼問題

: 想補貨調味料

: 看到這個蝦皮直營賣場剛好都有賣 就買了快20樣

: 結果剛剛傳訊息來說要分成10幾件包裹出貨?

: 蝦皮不是一個賣場打包成一箱的嗎

: 這個是三小有沒有人買過阿= =?"
"[問卦] 有人買過""""蝦皮直營""""的賣場嗎?",https://www.ptt.cc/bbs/Gossiping/M.1776759529.A.234.html,2026-04-21 16:18:47,ThorFukt (托爾),"想補貨調味料

看到這個蝦皮直營賣場剛好都有賣 就買了快20樣

結果剛剛傳訊息來說要分成10幾件包裹出貨?

蝦皮不是一個賣場打包成一箱的嗎

這個是三小有沒有人買過阿= =?"
[問卦] 蝦皮遊戲是整人的嗎?,https://www.ptt.cc/bbs/Gossiping/M.1776687555.A.688.html,2026-04-20 20:19:13,BBQ2591 (我叫愛秋),"欸欸
就是在說那個消消樂啦

比方說
要消除30個藍色方塊
才能過關

然後都不出現藍色方塊

啊幹 你不出現
我要怎麼消除啊

還有那個寶箱
永遠的 0.01

那個抽獎券
永遠抽不到

玩了個空虛
是在整人嗎
的卦?"
[問卦] 說要退出蝦皮的店家都去哪？,https://www.ptt.cc/bbs/Gossiping/M.1776584021.A.F41.html,2026-04-19 15:33:39,wu73 (っていう),"前陣子看到商家抱怨蝦皮抽成過多的文章，說考慮要退出蝦皮
但除了蝦皮之外，還有哪些電商比較多貨源和使用者？
那些說要退出蝦皮的商家，最後都去哪？"
[問卦] 鄉民蝦皮最慢幾天拿到貨？,https://www.ptt.cc/bbs/Gossiping/M.1776523017.A.4BF.html,2026-04-18 22:36:55,Daniel0712 (阿呆),"如題

有時會上蝦皮買東西

通常大概4-5天到貨

那大家買蝦皮的東西

最慢幾天拿到貨

有沒有卦

卦

Sent from JPTT on my iPhone"
[問卦] 蝦皮物流這麼慢 還是中資 生意這麼好？,https://www.ptt.cc/bbs/Gossiping/M.1776439805.A.5F2.html,2026-04-17 23:30:03,kingmusk (馬爹利),"如題

你們有沒有覺得

最近蝦皮物流真的慢到靠北

一個東西可以卡好幾天在智取店裡（賣家寄了 但東西停在店裡）

選全家或小七的速度就有夠快

幾乎隔天就能拿到了

然後蝦皮都還把店面換成智取店

連店員都不用請了

直接請工讀生分時段跑好幾家店理貨

油錢耗材自理

保險？？？ 不知道出事算誰的

結果台灣人還是用很爽 店越開越多

怎麼會這樣啊 有八卦？"
[問卦] 為啥蝦皮店到店現在好像沒店員了？,https://www.ptt.cc/bbs/Gossiping/M.1776433092.A.D8B.html,2026-04-17 21:38:10,Lucky0105 (洋),"家裡附近幾間都變成智取店 沒店員那種

雖然好像也行啦，雖然好像也行？

但好奇為什麼變這樣

Sent from JPTT on my iPhone"
